$$FUSEN,4,0,0.0000000,0.0000000,0,29.56;27.31*9BEA
$$FUSEN,time, lat, lon, alt, 28.25;2.19 *checksum
$$FUSEN,time, lat, lon, alt, 28.19;2.06 *checksum
$$FUSEN,time, lat, lon, alt, 28.06;1.94 *checksum
$$FUSEN,time, lat, lon, alt, 28.00;1.88 *checksum
$$FUSEN,time, lat, lon, alt, 27.94;1.69 *checksum
$$FUSEN,time, lat, lon, alt, 27.81;1.63 *checksum
$$FUSEN,time, lat, lon, alt, 27.75;1.50 *checksum
$$FUSEN,time, lat, lon, alt, 27.69;1.37 *checksum
$$FUSEN,time, lat, lon, alt, 27.56;1.25 *checksum
$$FUSEN,time, lat, lon, alt, 27.50;1.19 *checksum
$$FUSEN,time, lat, lon, alt, 27.44;1.06 *checksum
$$FUSEN,time, lat, lon, alt, 27.31;0.94 *checksum
$$FUSEN,time, lat, lon, alt, 27.25;0.88 *checksum
$$FUSEN,time, lat, lon, alt, 27.12;0.75 *checksum
$$FUSEN,time, lat, lon, alt, 27.12;0.63 *checksum
$$FUSEN,time, lat, lon, alt, 27.00;0.56 *checksum
$$FUSEN,time, lat, lon, alt, 26.94;0.37 *checksum
$$FUSEN,time, lat, lon, alt, 26.81;0.31 *checksum
$$FUSEN,time, lat, lon, alt, 26.75;0.25 *checksum
$$FUSEN,time, lat, lon, alt, 26.69;0.12 *checksum
$$FUSEN,time, lat, lon, alt, 26.56;0.00 *checksum
$$FUSEN,time, lat, lon, alt, 26.50;-0.06 *checksum
$$FUSEN,time, lat, lon, alt, 26.37;-0.12 *checksum
